-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
+	02: intro.subtitle	Readme	Make Your $10 Mouse Better Than an Apple Trackpad!	Mach deine 10-Euro-Maus besser als ein Apple Trackpad!	
-	05: intro.links.releases	Readme	Releases	Releases	
+	05: intro.links.releases	Readme	Releases	Versionen	
-	08: intro.body	Readme	Mac Mouse Fix is an app that makes your mouse better.\n\nI want to turn Mac Mouse Fix into the best mouse driver *of all time*! Some features are still missing at the moment, but I think it already **turns regular mice into the best input devices for Macs** in some ways. At the same level or even better than an Apple Trackpad or a Logitech MX Master mouse.\n\nFor more information on how exactly Mac Mouse Fix enhances your mouse, visit the [website]({url}).	Mac Mouse Fix ist eine App, die deine Maus besser macht.\n\nIch möchte Mac Mouse Fix zum besten Maustreiber *aller Zeiten* machen! Derzeit fehlen noch einige Funktionen, aber ich denke es macht jetzt schon **normale Mäuse** in einiger Hinsicht **zu den besten Eingabegeräten für Macs**! Auf dem selben Level oder sogar besser als ein Apple Trackpad oder eine Logitech MX Master Maus.\n\nFür mehr Info darüber, wie genau Mac Mouse Fix deine Maus verbessert, besuche die [Website]({url}).	
+	08: intro.body	Readme	Mac Mouse Fix is an app that makes your mouse better.\n\nI want to turn Mac Mouse Fix into the best mouse driver *of all time*! Some features are still missing at the moment, but I think it already **turns regular mice into the best input devices for Macs** in some ways. At the same level or even better than an Apple Trackpad or a Logitech MX Master mouse.\n\nFor more information on how exactly Mac Mouse Fix enhances your mouse, visit the [website]({url}).	Mac Mouse Fix ist eine App, die deine Maus verbessert.\n\nIch möchte Mac Mouse Fix zum besten Maustreiber *aller Zeiten* machen! Einige Funktionen fehlen derzeit noch, aber ich denke, sie verwandelt in mancher Hinsicht bereits **normale Mäuse in die besten Eingabegeräte für Macs**. Auf dem gleichen Niveau oder sogar besser als ein Apple Trackpad oder eine Logitech MX Master Maus.\n\nFür weitere Informationen darüber, wie genau Mac Mouse Fix deine Maus verbessert, besuche die [Website]({url}).	
-	09: features	Readme	## Features\n\nSee the [website]({url_1}) for an overview of the features of Mac Mouse Fix, including video demos!\n\nFor more details, see the [Releases]({url_2}).	## Funktionen\n\nSiehe die [Website]({url_1}) für einen Überblick über die Funktionen von Mac Mouse Fix, einschließlich Videodemos!\n\nMehr Details findest du unter [Releases]({url_2}).	
+	09: features	Readme	## Features\n\nSee the [website]({url_1}) for an overview of the features of Mac Mouse Fix, including video demos!\n\nFor more details, see the [Releases]({url_2}).	## Funktionen\n\nBesuche die [Website]({url_1}) für eine Übersicht der Funktionen von Mac Mouse Fix, inklusive Videodemos!\n\nFür weitere Details siehe die [Versionen]({url_2}).	
-	10: install	Readme	## Installation\n\nDownload the latest version of Mac Mouse Fix on the [website]({url_1}).\n\nYou can also install Mac Mouse Fix through [Homebrew]({url_2})! Just type the following command into the terminal:\n\n```bash\nbrew install mac-mouse-fix\n```\n\nYou can download older versions of Mac Mouse Fix under [Releases]({url_3}).	## Installation\n\nLade die neueste Version von Mac Mouse Fix auf der [Website]({url_1}) herunter.\n\nDu kannst Mac Mouse Fix auch über [Homebrew]({url_2}) installieren! Gib einfach den folgenden Befehl in das Terminal ein:\n\n```bash\nbrew install mac-mouse-fix\n```\n\nÄltere Versionen von Mac Mouse Fix kannst du unter [Releases]({url_3}) herunterladen.	
+	10: install	Readme	## Installation\n\nDownload the latest version of Mac Mouse Fix on the [website]({url_1}).\n\nYou can also install Mac Mouse Fix through [Homebrew]({url_2})! Just type the following command into the terminal:\n\n```bash\nbrew install mac-mouse-fix\n```\n\nYou can download older versions of Mac Mouse Fix under [Releases]({url_3}).	## Installation\n\nLade die neueste Version von Mac Mouse Fix auf der [Website]({url_1}) herunter.\n\nDu kannst Mac Mouse Fix auch über [Homebrew]({url_2}) installieren! Gib einfach den folgenden Befehl im Terminal ein:\n\n```bash\nbrew install mac-mouse-fix\n```\n\nÄltere Versionen von Mac Mouse Fix kannst du unter [Versionen]({url_3}) herunterladen.	
-	11: macos-compat	Readme	## macOS compatibility\n\nThe latest version of Mac Mouse Fix is made for **macOS 11 Big Sur** or later.\n  \nIf you're on macOS **10.15 Catalina**, macOS **10.14 Mojave**, or macOS **10.13 High Sierra**, you can use the [latest version of Mac Mouse Fix 2]({url_1}). Mac Mouse Fix 3.0.0 and later might still work on your machine, but they will have visual issues and some features might not work properly.\n    \nIf you're on macOS **10.12 Sierra**, or **10.11 El Capitan**, you can use Mac Mouse Fix [2.2.0]({url_2}) or below.	## macOS-Kompatibilität\n\nDie neueste Version von Mac Mouse Fix ist für **macOS 11 Big Sur** oder später gemacht.\n\nWenn du macOS **10.15 Catalina**, macOS **10.14 Mojave** oder macOS **10.13 High Sierra** benutzt, kannst du die [neueste Version von Mac Mouse Fix 2]({url_1}) verwenden. Mac Mouse Fix 3.0.0 und später könnten vielleicht auch noch auf deinem Gerät funktionieren, aber sie werden visuelle Probleme haben und einige Funktionen werden eventuell nicht richtig funktionieren.\n\nWenn du macOS **10.12 Sierra** oder **10.11 El Capitan** benutzt, kannst du Mac Mouse Fix [2.2.0]({url_2}) oder früher verwenden.	
+	11: macos-compat	Readme	## macOS compatibility\n\nThe latest version of Mac Mouse Fix is made for **macOS 11 Big Sur** or later.\n  \nIf you're on macOS **10.15 Catalina**, macOS **10.14 Mojave**, or macOS **10.13 High Sierra**, you can use the [latest version of Mac Mouse Fix 2]({url_1}). Mac Mouse Fix 3.0.0 and later might still work on your machine, but they will have visual issues and some features might not work properly.\n    \nIf you're on macOS **10.12 Sierra**, or **10.11 El Capitan**, you can use Mac Mouse Fix [2.2.0]({url_2}) or below.	## macOS-Kompatibilität\n\nDie neueste Version von Mac Mouse Fix ist für **macOS 11 Big Sur** oder neuer gemacht.\n  \nWenn du macOS **10.15 Catalina**, macOS **10.14 Mojave** oder macOS **10.13 High Sierra** verwendest, kannst du die [neueste Version von Mac Mouse Fix 2]({url_1}) nutzen. Mac Mouse Fix 3.0.0 und neuer könnte auf deinem Mac noch funktionieren, wird aber visuelle Probleme haben und einige Funktionen könnten nicht richtig funktionieren.\n    \nWenn du macOS **10.12 Sierra** oder **10.11 El Capitan** verwendest, kannst du Mac Mouse Fix [2.2.0]({url_2}) oder niedriger nutzen.	
-	12: price	Readme	## Pricing\n\nSee the [website]({url}) for an overview of the pricing for Mac Mouse Fix 3.<br>\nMac Mouse Fix 2 and below will remain free forever.	## Preisgestaltung\n\nEinen Überblick über die Preisgestaltung von Mac Mouse Fix 3 findest du auf der [Website]({url}).<br>\nMac Mouse Fix 2 und früher bleiben für immer kostenlos.	
+	12: price	Readme	## Pricing\n\nSee the [website]({url}) for an overview of the pricing for Mac Mouse Fix 3.<br>\nMac Mouse Fix 2 and below will remain free forever.	## Preise\n\nBesuche die [Website]({url}) für eine Übersicht der Preise für Mac Mouse Fix 3.<br>\nMac Mouse Fix 2 und niedriger bleibt für immer kostenlos.	
-	13: uninstall	Readme	## Uninstallation\n\nUninstall Mac Mouse Fix by simply moving it to the bin. \n\nHowever, there will be files left on your system. To get rid of these files I recommend the awesome [AppCleaner by FreeMacSoft]({url}).\n\nUnder macOS, it is not feasible for apps to delete these leftover files by themselves when you delete the app. That's why I highly recommend using an app like AppCleaner.	## Deinstallation\n\nDeinstalliere Mac Mouse Fix, indem du es einfach in den Papierkorb verschiebst.\n\nEs werden jedoch Dateien auf deinem System zurückbleiben. Um diese Dateien zu entfernen, empfehle ich den großartigen [AppCleaner von FreeMacSoft]({url}).\n\nUnter macOS ist es für Apps nicht machbar, diese hinterlassenen Dateien selbst zu löschen, wenn du die App löschst. Deshalb empfehle ich wärmstens die Verwendung einer App wie AppCleaner.	
+	13: uninstall	Readme	## Uninstallation\n\nUninstall Mac Mouse Fix by simply moving it to the bin. \n\nHowever, there will be files left on your system. To get rid of these files I recommend the awesome [AppCleaner by FreeMacSoft]({url}).\n\nUnder macOS, it is not feasible for apps to delete these leftover files by themselves when you delete the app. That's why I highly recommend using an app like AppCleaner.	## Deinstallation\n\nDeinstalliere Mac Mouse Fix, indem du es einfach in den Papierkorb verschiebst.\n\nEs bleiben jedoch Dateien auf deinem System zurück. Um diese Dateien loszuwerden, empfehle ich das großartige [AppCleaner von FreeMacSoft]({url}).\n\nUnter macOS ist es für Apps nicht möglich, diese übrig gebliebenen Dateien selbst zu löschen, wenn du die App löschst. Deshalb empfehle ich dringend die Verwendung einer App wie AppCleaner.	
-	14: what-people-say	Readme	## What people say\n\nThanks so much to everyone sharing their excitement about Mac Mouse Fix!<br>\nOn the [website]({url}) you can find a collection of nice things people have said about the app.	## Was die Leute sagen\n\nVielen Dank an alle, die ihre Begeisterung über Mac Mouse Fix geteilt haben!<br>\nAuf der [Website]({url}) kannst du eine Sammlung schöner Dinge, die Leute über die App gesagt haben, finden.	
+	14: what-people-say	Readme	## What people say\n\nThanks so much to everyone sharing their excitement about Mac Mouse Fix!<br>\nOn the [website]({url}) you can find a collection of nice things people have said about the app.	## Was die Leute sagen\n\nVielen Dank an alle, die ihre Begeisterung für Mac Mouse Fix teilen!<br>\nAuf der [Website]({url}) findest du eine Sammlung netter Dinge, die Leute über die App gesagt haben.	
-	16: tips.swish	Readme	**Manage windows with a simple Click and Drag**	**Fenster einfach per klicken und ziehen verwalten**	
+	16: tips.swish	Readme	**Manage windows with a simple Click and Drag**	**Fenster verwalten mit einem einfachen Klicken und Ziehen**	
-	17: tips.swish.body	Readme	[Swish]({url}) is my favorite way to manage windows on macOS. With a simple swipe on your trackpad, it lets you position any window so it takes up half, a quarter, or the whole screen.\n\nSwish is designed for trackpad gestures, but with Mac Mouse Fix you can use it from any third-party mouse! Just go to Mac Mouse Fix and set any button's 'Click and Drag' action to 'Scroll & Navigate' and then you can snap windows with a simple Click and Drag.\n\nAnything you can do with a two-finger swipe on an Apple trackpad works just as well with the 'Scroll & Navigate' feature in Mac Mouse Fix.	[Swish]({url}) ist meine bevorzugte Methode, um Fenster unter macOS zu verwalten. Es ermöglicht dir, mit einem einfachen Wischen auf dem Trackpad jedes Fenster so zu positionieren, dass es die Hälfte, ein Viertel oder den ganzen Bildschirm einnimmt.\n\nSwish ist für Trackpad-Gesten konzipiert, aber mit Mac Mouse Fix kannst du es von jeder Drittanbieter-Maus aus verwenden! Öffne dazu einfach Mac Mouse Fix und stelle für eine beliebige Taste die 'klicken und ziehen' Aktion auf 'Scrollen & Navigieren', dann kannst du Fenster mit einem einfachen klicken und ziehen positionieren.\n\nAlles was du mit durch Wischen mit 2 Fingern auf einem Apple Trackpad machen kannst funktioniert genau so gut mit der 'Scrollen & Navigieren' Funktion in Mac Mouse Fix.	
+	17: tips.swish.body	Readme	[Swish]({url}) is my favorite way to manage windows on macOS. With a simple swipe on your trackpad, it lets you position any window so it takes up half, a quarter, or the whole screen.\n\nSwish is designed for trackpad gestures, but with Mac Mouse Fix you can use it from any third-party mouse! Just go to Mac Mouse Fix and set any button's 'Click and Drag' action to 'Scroll & Navigate' and then you can snap windows with a simple Click and Drag.\n\nAnything you can do with a two-finger swipe on an Apple trackpad works just as well with the 'Scroll & Navigate' feature in Mac Mouse Fix.	[Swish]({url}) ist meine Lieblingsmethode, um Fenster unter macOS zu verwalten. Mit einem einfachen Wischen auf deinem Trackpad kannst du jedes Fenster so positionieren, dass es die Hälfte, ein Viertel oder den ganzen Bildschirm einnimmt.\n\nSwish ist für Trackpad-Gesten konzipiert, aber mit Mac Mouse Fix kannst du es von jeder Drittanbieter-Maus aus nutzen! Gehe einfach zu Mac Mouse Fix und setze die „Klicken und Ziehen"-Aktion einer beliebigen Taste auf „Scrollen & Navigieren" und dann kannst du Fenster mit einem einfachen Klicken und Ziehen einrasten lassen.\n\nAlles, was du mit einem Zwei-Finger-Wischen auf einem Apple Trackpad machen kannst, funktioniert genauso gut mit der „Scrollen & Navigieren"-Funktion in Mac Mouse Fix.	
-	18: tips.apple-keys	Readme	**Control Screen Brightness, Audio Volume, or Media Playback right from your mouse**	**Bildschirmhelligkeit, Audio-Lautstärke oder Medienwiedergabe direkt von deiner Maus aus steuern**	
+	18: tips.apple-keys	Readme	**Control Screen Brightness, Audio Volume, or Media Playback right from your mouse**	**Bildschirmhelligkeit, Lautstärke oder Medienwiedergabe direkt von deiner Maus aus steuern**	
-	19: tips.apple-keys.body	Readme	Mac Mouse Fix lets you use **any key on your keyboard** directly from your mouse -\neven special keys only found on Apple keyboards that let you control Screen Brightness, Audio Volume, Media Playback, and more.\n\nIf you don't have an Apple keyboard at hand, **hold Option (⌥)** to choose the special Apple keys.	Mac Mouse Fix ermöglicht es dir, **jede Taste auf deiner Tastatur** direkt von deiner Maus aus zu verwenden -\nsogar spezielle Tasten, die nur auf Apple-Tastaturen zu finden sind und mit denen du Bildschirmhelligkeit, Audio-Lautstärke, Medienwiedergabe und mehr steuern kannst.\n\nWenn du keine Apple-Tastatur zur Hand hast, **halte die Optionstaste (⌥)** gedrückt, um die speziellen Apple-Tasten auszuwählen.	
+	19: tips.apple-keys.body	Readme	Mac Mouse Fix lets you use **any key on your keyboard** directly from your mouse -\neven special keys only found on Apple keyboards that let you control Screen Brightness, Audio Volume, Media Playback, and more.\n\nIf you don't have an Apple keyboard at hand, **hold Option (⌥)** to choose the special Apple keys.	Mit Mac Mouse Fix kannst du **jede Taste deiner Tastatur** direkt von deiner Maus aus verwenden -\nsogar Sondertasten, die nur auf Apple-Tastaturen zu finden sind und mit denen du Bildschirmhelligkeit, Lautstärke, Medienwiedergabe und mehr steuern kannst.\n\nWenn du keine Apple-Tastatur zur Hand hast, **halte Wahltaste (⌥) gedrückt**, um die speziellen Apple-Tasten auszuwählen.	
-	22: questions.apple-silicon.body	Readme	Yes, Mac Mouse Fix runs 100% native on Apple Silicon.	Ja, Mac Mouse Fix läuft zu 100% nativ auf Apple Silicon.	
+	22: questions.apple-silicon.body	Readme	Yes, Mac Mouse Fix runs 100% native on Apple Silicon.	Ja, Mac Mouse Fix läuft 100% nativ auf Apple Silicon.	
-	24: questions.click-delay.body	Readme	When you click, Mac Mouse Fix might wait to see if you're going to double click.<br>\nTo remove the delay for a button, delete any 'Double Click' actions for that button.	Wenn du klickst, wartet Mac Mouse Fix möglicherweise ab, um zu sehen, ob du doppelklickst.<br>\nUm die Verzögerung für eine Taste zu entfernen, lösche alle 'Doppelklicken'-Aktionen für diese Taste.	Some text like 'Double Click' is quoted, because it appears exactly\nin the Mac Mouse Fix UI.\n\nFor example, 'Double Click' appears on the 'Buttons' tab in Mac Mouse Fix (See: trigger.substring.click.2)\n\nIf you're using Xcloc Editor.app, you can find all the related strings like this:\n- Go to 'All Project Files' (Command-J)\n- Select the search-field (Command-F) \n- Enter the English string (such as 'Double Click') \n-> Now you can see all the occurrences and translations of this English string!\n\nTry to keep the different translations consistent, especially, when the strings are 'quoted' (or "double quoted") or *emphasized*. \nThe goal is to help the reader draw the connection to the Mac Mouse Fix UI.\n\nPro Tip: You can highlight all occurrences of the English string *as well as* its translation like this:\n- Turn on Regular Expressions (Command-Option-R) \n- Use a search-string like ‘double click|doppelklicken’ (English version and translation separated by a ‘|’ character.)\n-> Now you can more easily spot whether all the translations are consistent.
+	24: questions.click-delay.body	Readme	When you click, Mac Mouse Fix might wait to see if you're going to double click.<br>\nTo remove the delay for a button, delete any 'Double Click' actions for that button.	Wenn du klickst, wartet Mac Mouse Fix möglicherweise ab, ob du doppelklicken wirst.<br>\nUm die Verzögerung für eine Taste zu entfernen, lösche alle „Doppelklick"-Aktionen für diese Taste.	Some text like 'Double Click' is quoted, because it appears exactly\nin the Mac Mouse Fix UI.\n\nFor example, 'Double Click' appears on the 'Buttons' tab in Mac Mouse Fix (See: trigger.substring.click.2)\n\nIf you're using Xcloc Editor.app, you can find all the related strings like this:\n- Go to 'All Project Files' (Command-J)\n- Select the search-field (Command-F) \n- Enter the English string (such as 'Double Click') \n-> Now you can see all the occurrences and translations of this English string!\n\nTry to keep the different translations consistent, especially, when the strings are 'quoted' (or "double quoted") or *emphasized*. \nThe goal is to help the reader draw the connection to the Mac Mouse Fix UI.\n\nPro Tip: You can highlight all occurrences of the English string *as well as* its translation like this:\n- Turn on Regular Expressions (Command-Option-R) \n- Use a search-string like ‘double click|doppelklicken’ (English version and translation separated by a ‘|’ character.)\n-> Now you can more easily spot whether all the translations are consistent.
-	27: questions.app-expose	Readme	**Can I open App Exposé through a Click and Drag Gesture?**	**Kann ich App Exposé durch eine Klick-und-Zieh-Geste öffnen?** <!-- Hinweis: Wir verwenden hier App Exposé und in MMF 'Programmfenster'. Nicht sicher, ob das gut ist. Ich fand das allerdings klarer. -->	
+	27: questions.app-expose	Readme	**Can I open App Exposé through a Click and Drag Gesture?**	**Kann ich Programmfenster durch eine Klicken-und-Ziehen-Geste öffnen?**	
-	28: questions.app-expose.body	Readme	Yes! Just choose the 'Spaces & Mission Control' Action and then Click and Drag *down*.\n\nIf this doesn't work, it's likely because the 'App Exposé' trackpad gesture is disabled on your Mac.<br>\nYou can enable the gesture under System Settings or by running the following command in the terminal:\n\n```\ndefaults write com.apple.Dock showAppExposeGestureEnabled -bool TRUE; killall Dock\n```	Ja! Wähle einfach die Aktion 'Spaces & Mission Control', dann klicke und ziehe *nach unten*.\n\nWenn das nicht funktioniert, liegt es wahrscheinlich daran, dass die Trackpad-Geste für 'App Exposé' auf deinem Mac deaktiviert ist.<br>\nDu kannst die Geste in den Systemeinstellungen aktivieren, oder indem du den folgenden Befehl im Terminal ausführst:\n\n```\ndefaults write com.apple.Dock showAppExposeGestureEnabled -bool TRUE; killall Dock\n```	
+	28: questions.app-expose.body	Readme	Yes! Just choose the 'Spaces & Mission Control' Action and then Click and Drag *down*.\n\nIf this doesn't work, it's likely because the 'App Exposé' trackpad gesture is disabled on your Mac.<br>\nYou can enable the gesture under System Settings or by running the following command in the terminal:\n\n```\ndefaults write com.apple.Dock showAppExposeGestureEnabled -bool TRUE; killall Dock\n```	Ja! Wähle einfach die Aktion „Spaces & Mission Control" und ziehe dann *nach unten*.\n\nFalls das nicht funktioniert, liegt es wahrscheinlich daran, dass die „Programmfenster"-Trackpad-Geste auf deinem Mac deaktiviert ist.<br>\nDu kannst die Geste in den Systemeinstellungen aktivieren oder indem du folgenden Befehl im Terminal ausführst:\n\n```\ndefaults write com.apple.Dock showAppExposeGestureEnabled -bool TRUE; killall Dock\n```	
-	29: questions.app-specific-settings	Readme	**Are there 'App-Specific Settings' or 'Profiles'?**	**Gibt es 'App-spezifische Einstellungen' oder 'Profile'?**	
+	29: questions.app-specific-settings	Readme	**Are there 'App-Specific Settings' or 'Profiles'?**	**Gibt es „App-spezifische Einstellungen" oder „Profile"?**	
-	30: questions.app-specific-settings.body	Readme	In Mac Mouse Fix 2, you can **disable features like Smooth Scrolling** under `More... > App-specific settings`.\n\nIn Mac Mouse Fix 3, this feature doesn't exist yet. <br>\nBoth 'app-specific settings' and 'mouse-specific settings' are planned, but I don't have a timeline yet for when they'll be released.\n\n**Tip:** Until 'app-specific settings' arrive in Mac Mouse Fix 3, you can do this:\n- Open the `General` tab\n- Turn on `Show in Menu Bar`\n- Now you can **disable features like Smooth Scrolling** directly from the Menu Bar\n\nI'm also interested to hear what your *use case* is. Feel free to submit a [feature request]({url}). Your input will help make the feature as good as possible once it arrives.	In Mac Mouse Fix 2 kannst du **Funktionen wie flüssiges Scrollen abstellen** unter `More… > App-specific settings`.\n\nIn Mac Mouse Fix 3 existiert diese Funktion noch nicht. <br>\n'App-spezifische Einstellungen' sowie 'Maus-spezifische Einstellungen' sind geplant, aber ich habe noch keinen Zeitplan dafür, wann sie veröffentlicht werden.\n\n**TIp:** Bis 'App-spezifische Einstellungen' in Mac Mouse Fix 3 verfügbar sind, kannst du folgendes tun:\n- Öffne den `Allgemein`-Tab\n- Aktiviere `In der Menüleiste anzeigen`\n- Jetzt kannst du **Funktionen wie flüssiges Scrollen** direkt über die Menüleiste **abstellen**\n\nIch bin auch interessiert zu hören, was dein *Anwendungsfall* ist. Du kannst gerne eine [Funktionsanfrage]({url}) stellen. Dein Beitrag wird helfen, die Funktion so gut wie möglich zu gestalten, wenn sie dann verfügbar ist.	1) Don't translate 'More... > App-specific settings' - that's because Mac Mouse Fix 2 doesn't support localization. \n\n2) In English, the words 'Mac Mouse Fix' are purposefully aligned in the first two lines:\n'In Mac Mouse Fix 2, ...'  and \n'In Mac Mouse Fix 3, ...'\nto make the text easier to scan.
+	30: questions.app-specific-settings.body	Readme	In Mac Mouse Fix 2, you can **disable features like Smooth Scrolling** under `More... > App-specific settings`.\n\nIn Mac Mouse Fix 3, this feature doesn't exist yet. <br>\nBoth 'app-specific settings' and 'mouse-specific settings' are planned, but I don't have a timeline yet for when they'll be released.\n\n**Tip:** Until 'app-specific settings' arrive in Mac Mouse Fix 3, you can do this:\n- Open the `General` tab\n- Turn on `Show in Menu Bar`\n- Now you can **disable features like Smooth Scrolling** directly from the Menu Bar\n\nI'm also interested to hear what your *use case* is. Feel free to submit a [feature request]({url}). Your input will help make the feature as good as possible once it arrives.	In Mac Mouse Fix 2 kannst du **Funktionen wie sanftes Scrollen deaktivieren** unter `More... > App-specific settings`.\n\nIn Mac Mouse Fix 3 existiert diese Funktion noch nicht. <br>\nSowohl „App-spezifische Einstellungen" als auch „Maus-spezifische Einstellungen" sind geplant, aber ich habe noch keinen Zeitplan, wann sie veröffentlicht werden.\n\n**Tipp:** Bis „App-spezifische Einstellungen" in Mac Mouse Fix 3 kommen, kannst du Folgendes tun:\n- Öffne den Tab `Allgemein`\n- Aktiviere `In Menüleiste anzeigen`\n- Jetzt kannst du **Funktionen wie sanftes Scrollen** direkt von der Menüleiste aus deaktivieren\n\nIch bin auch daran interessiert zu hören, was dein *Anwendungsfall* ist. Du kannst gerne eine [Feature-Anfrage]({url}) einreichen. Dein Input wird helfen, die Funktion so gut wie möglich zu machen, wenn sie kommt.	1) Don't translate 'More... > App-specific settings' - that's because Mac Mouse Fix 2 doesn't support localization. \n\n2) In English, the words 'Mac Mouse Fix' are purposefully aligned in the first two lines:\n'In Mac Mouse Fix 2, ...'  and \n'In Mac Mouse Fix 3, ...'\nto make the text easier to scan.
-	32: questions.mouse-support.body	Readme	Probably. If you want to know for sure, it's best to download Mac Mouse Fix and try it out.\n\nMac Mouse Fix works very well with most mice. However, on certain mice designed to be used with proprietary driver software like Logitech Options, Mac Mouse Fix can't recognize all the buttons at the moment. \n\nThat's because these mice communicate with your computer using a special, proprietary protocol, instead of the standard USB protocol.<br>\nI would love to add full compatibility for these mice at some point, but it's a ton of work and it won't be coming soon.	Wahrscheinlich schon. Wenn du es genau wissen möchtest, lade am besten Mac Mouse Fix herunter und probiere es aus.\n\nMac Mouse Fix funktioniert gut mit den meisten Mäusen. Allerdings kann Mac Mouse Fix bei bestimmten Mäusen, die für die Verwendung mit hauseigenen Treibern wie Logitech Options entwickelt wurden, derzeit nicht alle Tasten erkennen. \n  \nDas liegt daran, dass diese Mäuse mit einem speziellen, hauseigenen Protokoll und nicht mit dem Standard-USB-Protokoll mit deinem Computer kommunizieren. <br>\nIch würde gerne irgendwann volle Kompatibilität für diese Mäuse hinzufügen, aber das ist viel Arbeit und wird nicht so bald kommen.	
+	32: questions.mouse-support.body	Readme	Probably. If you want to know for sure, it's best to download Mac Mouse Fix and try it out.\n\nMac Mouse Fix works very well with most mice. However, on certain mice designed to be used with proprietary driver software like Logitech Options, Mac Mouse Fix can't recognize all the buttons at the moment. \n\nThat's because these mice communicate with your computer using a special, proprietary protocol, instead of the standard USB protocol.<br>\nI would love to add full compatibility for these mice at some point, but it's a ton of work and it won't be coming soon.	Wahrscheinlich. Wenn du es sicher wissen willst, lade am besten Mac Mouse Fix herunter und probiere es aus.\n\nMac Mouse Fix funktioniert sehr gut mit den meisten Mäusen. Bei bestimmten Mäusen, die für die Verwendung mit proprietärer Treibersoftware wie Logitech Options konzipiert sind, kann Mac Mouse Fix derzeit jedoch nicht alle Tasten erkennen.\n\nDas liegt daran, dass diese Mäuse mit deinem Computer über ein spezielles, proprietäres Protokoll kommunizieren, anstatt über das Standard-USB-Protokoll.<br>\nIch würde gerne irgendwann volle Kompatibilität für diese Mäuse hinzufügen, aber das ist viel Arbeit und wird nicht so bald kommen.	
-	33: questions.mouse-buttons-not-working	Readme	**Some buttons on my mouse are not recognized**	**Manche Tasten meiner Maus werden nicht erkannt**	
+	33: questions.mouse-buttons-not-working	Readme	**Some buttons on my mouse are not recognized**	**Einige Tasten meiner Maus werden nicht erkannt**	
-	34: questions.mouse-buttons-not-working.body	Readme	See the question **'Is my mouse supported?'** above.	Siehe die Frage **'Wird meine Maus unterstützt?'** oben.	
+	34: questions.mouse-buttons-not-working.body	Readme	See the question **'Is my mouse supported?'** above.	Siehe die Frage **„Wird meine Maus unterstützt?"** oben.	
-	36: questions.magic-mouse-support.body	Readme	I might add features in the future which enhance the Apple Magic Mouse, but currently, Mac Mouse Fix has no effect on it.	Ich werde eventuell in Zukunft Funktionen bauen, die die Apple Magic Mouse verbessern, aber derzeit hat Mac Mouse Fix keinen Effekt auf die Magic Mouse.	
+	36: questions.magic-mouse-support.body	Readme	I might add features in the future which enhance the Apple Magic Mouse, but currently, Mac Mouse Fix has no effect on it.	Ich werde möglicherweise in Zukunft Funktionen hinzufügen, die die Apple Magic Mouse verbessern, aber derzeit hat Mac Mouse Fix keine Auswirkung auf sie.	
-	38: questions.tilt-wheel.body	Readme	Some mice let you tilt the scroll wheel left or right to scroll horizontally. Mac Mouse Fix will make this feel more natural and easy to control. However, it's not currently possible to trigger other actions, such as switching between desktops, by tilting the scroll wheel. I'd love to implement this feature at some point, but it's a ton of work and it won't be coming soon.	Einige Mäuse ermöglichen es dir, das Scrollrad nach links oder rechts zu kippen, um horizontal zu scrollen. Mac Mouse Fix macht, dass sich das natürlicher und leichter zu steuern anfühlt. Derzeit ist es aber nicht möglich, andere Aktionen, wie beispielsweise das Wechseln zwischen Desktops, durch Kippen des Scrollrads auszulösen. Ich würde diese Funktion wirklich gerne irgendwann implementieren, aber es ist sehr viel Arbeit und wird nicht sehr bald kommen.	
+	38: questions.tilt-wheel.body	Readme	Some mice let you tilt the scroll wheel left or right to scroll horizontally. Mac Mouse Fix will make this feel more natural and easy to control. However, it's not currently possible to trigger other actions, such as switching between desktops, by tilting the scroll wheel. I'd love to implement this feature at some point, but it's a ton of work and it won't be coming soon.	Bei einigen Mäusen kannst du das Scrollrad nach links oder rechts kippen, um horizontal zu scrollen. Mac Mouse Fix macht dies natürlicher und einfacher zu kontrollieren. Es ist jedoch derzeit nicht möglich, andere Aktionen wie das Wechseln zwischen Schreibtischen durch Kippen des Scrollrads auszulösen. Ich würde diese Funktion gerne irgendwann implementieren, aber das ist viel Arbeit und wird nicht so bald kommen.	
-	40: questions.pointer-acceleration.body	Readme	Mac Mouse Fix doesn't let you turn off the pointer acceleration, but if you're on **macOS 14 Sonoma** or later, you can turn off the pointer acceleration under `System Settings > Mouse > Advanced... > Pointer acceleration`.\n\nI plan to add really nice ways to improve pointer acceleration in the future, but I'm not sure when that's coming.	Mac Mouse Fix erlaubt es dir nicht, die Zeigerbeschleunigung auszuschalten, aber wenn du auf **macOS 14 Sonoma** oder später bist, kannst du die Zeigerbeschleunigung unter `Systemeinstellungen > Maus > Weitere Optionen... > Zeigerbeschleunigung` ausschalten.\n\nIch plane, in Zukunft sehr gute Möglichkeiten zur Verbesserung der Zeigerbeschleunigung hinzuzufügen, aber ich weiß noch nicht, wann das kommt.\n	
